nomEtude, complement1, complement2, nomPays, codePays, donnees2017
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Malaysia,MYS,73.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Maldives,MDV,76.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Mali,MLI,57.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Malta,MLT,80.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Marshall Islands,MHL,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Mauritania,MRT,61.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Mauritius,MUS,71.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Mexico,MEX,74.9
"Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,""Micronesia, Fed. Sts."",FSM,68"
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Middle East & North Africa,MEA,72
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Middle East & North Africa (excluding high income),MNA,71
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Middle East & North Africa (IDA & IBRD),TMN,71.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Middle income,MIC,69.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Moldova,MDA,67.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Monaco,MCO,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Mongolia,MNG,65.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Montenegro,MNE,74.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Morocco,MAR,74.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Mozambique,MOZ,56.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Myanmar,MMR,64.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Namibia,NAM,61.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Nauru,NRU,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Nepal,NPL,68.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Netherlands,NLD,80
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,New Caledonia,NCL,75.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,New Zealand,NZL,80
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Nicaragua,NIC,72.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Niger,NER,59.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Nigeria,NGA,53.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,North America,NAC,76.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,North Macedonia,MKD,73.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Northern Mariana Islands,MNP,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Norway,NOR,80.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,OECD members,OED,77.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Oman,OMN,75.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Other small states,OSS,66.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Pacific island small states,PSS,68.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Pakistan,PAK,65.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Palau,PLW,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Panama,PAN,75.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Papua New Guinea,PNG,63.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Paraguay,PRY,71.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Peru,PER,72.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Philippines,PHL,65.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Poland,POL,73.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Portugal,PRT,78.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Post-demographic dividend,PST,78.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Pre-demographic dividend,PRE,58.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Puerto Rico,PRI,76.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Qatar,QAT,77.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Romania,ROU,71.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Russian Federation,RUS,67.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Rwanda,RWA,65.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Samoa,WSM,72.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,San Marino,SMR,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Sao Tome and Principe,STP,64.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Saudi Arabia,SAU,73.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Senegal,SEN,65.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Serbia,SRB,73.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Seychelles,SYC,70.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Sierra Leone,SLE,51.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Singapore,SGP,80.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Sint Maarten (Dutch part),SXM,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Slovak Republic,SVK,73.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Slovenia,SVN,78.2
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Small states,SST,67.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Solomon Islands,SLB,69.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Somalia,SOM,55
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,South Africa,ZAF,59.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,South Asia,SAS,67.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,South Asia (IDA & IBRD),TSA,67.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,South Sudan,SSD,56.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Spain,ESP,80.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Sri Lanka,LKA,72.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,St. Kitts and Nevis,KNA,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,St. Lucia,LCA,73
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,St. Martin (French part),MAF,76.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,St. Vincent and the Grenadines,VCT,71.2
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Sub-Saharan Africa,SSF,59.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Sub-Saharan Africa (excluding high income),SSA,59.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Sub-Saharan Africa (IDA & IBRD),TSS,59.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Sudan,SDN,63
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Suriname,SUR,68.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Sweden,SWE,80.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Switzerland,CHE,81.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Syrian Arab Republic,SYR,65.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Tajikistan,TJK,68.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Tanzania,TZA,64.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Thailand,THA,71.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Timor-Leste,TLS,67.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Togo,TGO,59.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Tonga,TON,70.2
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Trinidad and Tobago,TTO,67.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Tunisia,TUN,73.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Turkey,TUR,72.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Turkmenistan,TKM,64.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Turks and Caicos Islands,TCA,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Tuvalu,TUV,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Uganda,UGA,57.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Ukraine,UKR,67
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,United Arab Emirates,ARE,76.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,United Kingdom,GBR,79.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,United States,USA,76.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Upper middle income,UMC,73.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Uruguay,URY,74
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Uzbekistan,UZB,68.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Vanuatu,VUT,70.2
"Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,""Venezuela, RB"",VEN,70.8"
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Vietnam,VNM,71.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Virgin Islands (U.S.),VIR,76.2
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,West Bank and Gaza,PSE,71.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,World,WLD,70.1
"Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,""Yemen, Rep."",YEM,63.7"
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Zambia,ZMB,59.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Zimbabwe,ZWE,59.8

,,,,
,,,,
Data from database: Gender Statistics,,,,
Last Updated: 04/26/2019,,,,
